GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AJWME001,AJWNE001,AJWNE002,AJWNE003,AJWNE004,AJWNE005,AJWNE006,AJWNE007,AJWNE008,AJWNE009,AJWNE010,AJWVE001,AJWVE002,AJWVE003,AJWVE004,AJWVE005,AJWVE006,AJWVE007,AJWVE008,AJWVE009,AJWVE010,AJWVE011,AJWVE012,AJWVE013,AJWVE014,AJWVE015,AJWVE016,AJWVE017,AJWVE018,AJWVE019,AJWVE020,AJWVE021,AJWWE001,AJWWE002,AJWWE003,AJXCE001,AJXCE002,AJXCE003,AJXCE004,AJXCE005,AJXCE006,AJXCE007,AJXCE008,AJXCE009,AJXCE010,AJXCE011,AJXCE012,AJXCE013,AJXCE014,AJXCE015,AJXCE016,AJXCE017,AJXCE018,AJXCE019,AJXCE020,AJXCE021,AJXKE001,AJXKE002,AJXKE003,AJXKE004,AJXKE005,AJXKE006,AJXKE007,AJXKE008,AJXKE009,AJYPE001,AJYPE002,AJYPE003,AJYPE004,AJYPE005,AJYPE006,AJYPE007,AJYPE008,AJYPE009,AJYPE010,AJYPE011,AJYPE012,AJYPE013,AJYPE014,AJYPE015,AJYPE016,AJYPE017,AJYPE018,AJYPE019,AJYPE020,AJYPE021,AJYPE022,AJYPE023,AJYPE024,AJYPE025,AJY4E001,AJY4E002,AJY4E003,AJY4E004,AJY4E005,AJY4E006,AJY4E007,AJY4E008,AJY9E001,AJY9E002,AJY9E003,AJY9E004,AJY9E005,AJY9E006,AJY9E007,AJY9E008,AJY9E009,AJY9E010,AJY9E011,AJY9E012,AJY9E013,AJY9E014,AJY9E015,AJY9E016,AJY9E017,AJZAE001,NAME_M,AJWMM001,AJWNM001,AJWNM002,AJWNM003,AJWNM004,AJWNM005,AJWNM006,AJWNM007,AJWNM008,AJWNM009,AJWNM010,AJWVM001,AJWVM002,AJWVM003,AJWVM004,AJWVM005,AJWVM006,AJWVM007,AJWVM008,AJWVM009,AJWVM010,AJWVM011,AJWVM012,AJWVM013,AJWVM014,AJWVM015,AJWVM016,AJWVM017,AJWVM018,AJWVM019,AJWVM020,AJWVM021,AJWWM001,AJWWM002,AJWWM003,AJXCM001,AJXCM002,AJXCM003,AJXCM004,AJXCM005,AJXCM006,AJXCM007,AJXCM008,AJXCM009,AJXCM010,AJXCM011,AJXCM012,AJXCM013,AJXCM014,AJXCM015,AJXCM016,AJXCM017,AJXCM018,AJXCM019,AJXCM020,AJXCM021,AJXKM001,AJXKM002,AJXKM003,AJXKM004,AJXKM005,AJXKM006,AJXKM007,AJXKM008,AJXKM009,AJYPM001,AJYPM002,AJYPM003,AJYPM004,AJYPM005,AJYPM006,AJYPM007,AJYPM008,AJYPM009,AJYPM010,AJYPM011,AJYPM012,AJYPM013,AJYPM014,AJYPM015,AJYPM016,AJYPM017,AJYPM018,AJYPM019,AJYPM020,AJYPM021,AJYPM022,AJYPM023,AJYPM024,AJYPM025,AJY4M001,AJY4M002,AJY4M003,AJY4M004,AJY4M005,AJY4M006,AJY4M007,AJY4M008,AJY9M001,AJY9M002,AJY9M003,AJY9M004,AJY9M005,AJY9M006,AJY9M007,AJY9M008,AJY9M009,AJY9M010,AJY9M011,AJY9M012,AJY9M013,AJY9M014,AJY9M015,AJY9M016,AJY9M017,AJZAM001
"G130","2014-2018",,,"Georgia","13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Georgia",10297484,10297484,6079976,3239300,33484,402501,6095,283680,252448,35861,216587,10297484,9329021,5476441,3195363,18416,399223,5070,30394,204114,9209,194905,968463,603535,43937,15068,3278,1025,253286,48334,26652,21682,10297484,9329021,968463,4667378,4165302,3708394,456908,342977,66096,26056,12648,9131,99181,71421,795,23545,3093,327,12680,4866,10723,69380,50744,254502,3709488,2501768,1768511,733257,175248,558009,1207720,997979,209741,6786547,91231,1168,1421,3217,6428,14534,11356,17939,65172,34640,77650,121890,165149,172468,119651,1566284,323848,379243,1014998,518144,1282947,564866,142787,89516,10024689,727406,880308,495511,487769,687903,289389,6456403,3709488,269435,178646,181252,186094,184985,181841,167952,173008,155100,291450,367877,453876,307352,193627,201822,215171,55679,"Georgia",0,0,5699,4425,2337,2387,876,6101,6325,2251,5900,0,561,1796,4327,867,2451,777,2625,5601,1130,5360,561,5462,2546,2148,578,382,5469,2626,1880,1979,0,561,561,11149,13179,12077,6661,5696,2571,1519,972,947,2974,2463,218,1343,548,137,1273,613,826,2369,2188,4149,9402,10024,11014,5631,3319,4728,6444,6784,3236,2032,2794,240,339,541,832,1123,998,1264,2790,1345,2424,3100,3635,3885,3015,13509,4142,6229,9374,5662,9797,7175,2869,2103,2138,11544,13540,11177,9936,10034,8972,24803,9402,4048,3450,3434,3349,3193,3210,3076,3085,2861,3781,4623,5152,3993,3492,2707,3304,243
"G150","2014-2018",,,"Hawaii","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hawaii",1422029,1422029,355612,26266,2987,536842,143274,15292,341756,9805,331951,1422029,1274067,314536,24472,1877,522731,132583,1591,276277,1600,274677,147962,41076,1794,1110,14111,10691,13701,65479,8205,57274,1422029,1274067,147962,700228,566883,468932,97951,71338,16234,6340,3150,889,45326,44999,53,168,45,61,540,4379,5956,31742,12050,33352,456782,319069,237269,81800,26023,55777,137713,108906,28807,988367,10953,143,303,456,1322,2147,1690,1835,8965,2793,6791,8148,11875,10850,12425,251280,22353,55742,152114,105186,212053,72121,22668,14154,1383626,66582,70934,40122,41754,68422,30354,1065458,456782,24195,13813,14000,14398,14515,15762,14993,17106,14490,31024,44890,64472,50968,37338,42240,42578,78084,"Hawaii",0,0,2242,843,403,4385,2359,1556,5321,894,5225,0,0,292,823,287,4215,2094,346,4550,309,4557,0,2227,350,247,1356,972,1541,2225,812,2224,0,0,0,3508,3464,3457,2462,2112,1094,679,506,249,1472,1474,50,98,36,43,158,419,561,1304,978,1374,2081,2269,2462,1755,951,1465,2144,1964,964,124,834,75,122,166,310,369,349,287,728,379,600,772,897,721,734,3629,1012,1687,2721,2093,3445,1750,940,758,747,2768,3445,2530,2492,3737,2132,5038,2081,1009,656,848,769,715,792,880,828,852,1048,1370,1502,1249,991,1157,1117,607
"G160","2014-2018",,,"Idaho","16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Idaho",1687809,1687809,1527262,11536,22790,23758,2761,53110,46592,6908,39684,1687809,1478736,1387654,10739,18775,22809,2348,1038,35373,861,34512,209073,139608,797,4015,949,413,52072,11219,6047,5172,1687809,1478736,209073,757408,670856,595426,75430,56894,10506,4768,2031,1231,5418,5201,36,64,63,54,410,2036,7214,19434,6034,46006,618331,418688,335422,83266,26870,56396,199643,163549,36094,1089266,10670,366,125,467,835,2095,1701,1698,8934,2692,8590,11422,15485,19551,18060,242641,59219,93908,193205,104333,198648,65700,15775,13146,1656621,92999,135883,84711,88146,130665,56274,1067943,618331,38492,29568,29865,33635,31268,34988,32391,31324,28244,54943,70028,76641,51057,28311,25253,22323,53089,"Idaho",0,0,3055,783,984,953,373,2814,2061,921,1823,0,151,351,752,741,927,333,257,1686,302,1626,151,3033,297,734,290,186,2762,1263,887,784,0,151,151,3243,3537,3586,2675,2315,871,744,469,266,498,488,31,60,64,46,162,322,649,964,556,1544,2254,3035,3475,2074,1257,1621,2602,2381,1437,826,815,191,56,157,223,475,362,346,758,567,624,858,994,1068,996,3706,1749,2526,3517,2403,3265,1953,988,784,776,3925,4826,4073,3499,4504,3525,7746,2254,1420,1186,1327,1364,1131,1332,1339,1383,1212,1524,1668,1850,1636,1097,1317,1041,400
"G170","2014-2018",,,"Illinois","17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Illinois",12821497,12821497,9189185,1824125,31864,690822,4582,762506,318413,62866,255547,12821497,10646655,7894286,1796057,15037,685343,3088,20105,232739,11627,221112,2174842,1294899,28068,16827,5479,1494,742401,85674,51239,34435,12821497,10646655,2174842,6124144,4962939,4476231,486708,375334,68689,23962,11343,7380,578636,229402,2973,199271,146470,520,15651,5379,39586,182578,48646,290729,4830038,3117333,2300306,817027,221315,595712,1712705,1417008,295697,8682343,110053,1540,1499,3765,9409,19267,15338,21906,108617,25058,116044,96288,130607,153866,151330,1955687,311848,568857,1230951,692622,1801833,847698,194142,114118,12523283,753709,881894,515668,504434,721667,307825,8838086,4830038,314802,194284,210540,220865,206622,209338,198458,201578,177177,359558,469039,613917,452341,298758,335066,367695,63575,"Illinois",0,0,10813,3784,1950,2967,524,11030,6286,3175,5507,0,292,1461,3855,817,2738,386,1493,4293,1055,4637,292,10472,2243,1804,839,374,10880,3576,2968,1856,0,292,292,11844,13372,12227,6788,5259,2504,1433,887,614,4877,3614,458,2757,2954,140,987,478,1521,3531,1708,3498,9750,10480,11885,5816,3533,4990,7059,6673,3393,1159,2579,275,255,436,826,1067,927,1219,2594,1119,2936,2368,2719,2994,2923,12892,3468,6504,8682,5940,11249,7625,3061,2441,2053,11157,13811,9866,7613,9772,6876,24604,9750,3060,3185,3111,3069,2913,2654,2998,2945,2714,4398,4468,5303,3990,3808,4287,3357,187
"G180","2014-2018",,,"Indiana","18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Indiana",6637426,6637426,5548277,619472,14925,144991,2818,144648,162295,20887,141408,6637426,6187159,5275162,610343,12125,143883,2133,9793,133720,3794,129926,450267,273115,9129,2800,1108,685,134855,28575,17093,11482,6637426,6187159,450267,3107072,2851074,2578594,272480,213520,33103,12153,8091,5613,31522,24684,457,1563,4469,349,2346,3459,12793,64980,24295,116603,2553818,1668393,1238730,429663,122762,306901,885425,726648,158777,4399815,40742,717,647,1364,2183,4799,4687,5432,23220,12104,68745,67275,97514,101520,71675,1248789,227142,293011,605831,382510,727108,304487,62892,45421,6435742,414740,493619,287516,293239,433276,173699,4339653,2553818,161937,117149,130218,132008,132773,135371,126209,128048,112088,218078,274815,335317,214337,125469,113344,96657,54325,"Indiana",0,0,4235,3479,950,1837,405,3966,4571,1486,4207,0,166,898,3214,764,1769,239,982,3846,516,3833,166,4227,1063,599,303,339,3967,1879,1367,1293,0,166,166,7703,8271,8392,4320,4024,1502,770,616,606,1312,1175,195,317,445,136,412,319,972,1703,1080,2519,7375,7212,8363,4474,2282,3550,5005,5428,2491,1215,1476,193,153,255,328,548,623,627,1365,818,2002,2192,2283,2582,1713,7905,3193,4207,4816,3879,6494,3934,1831,1621,1620,6690,8792,6876,7205,8172,5062,17304,7375,2778,2101,2630,2881,2117,2248,2396,2407,2070,3215,3321,3800,3138,2168,2615,1973,230
"G190","2014-2018",,,"Iowa","19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Iowa",3132499,3132499,2827889,109911,11549,75083,3129,39168,65770,5130,60640,3132499,2949203,2695888,107471,9067,74640,2863,2806,56468,633,55835,183296,132001,2440,2482,443,266,36362,9302,4497,4805,3132499,2949203,183296,1583271,1416582,1285034,131548,101329,17458,6453,4226,2082,17435,16984,112,72,32,235,1243,2417,7766,51801,10755,75272,1256855,800510,634021,166489,53290,113199,456345,367268,89077,2081373,16321,489,313,380,1125,2320,1431,2308,9044,4117,27634,18838,25678,32960,23751,565437,82700,152796,288291,238423,395820,132751,33970,24476,3030572,160431,193203,127966,124014,180262,83130,2161566,1256855,68502,55656,59026,60647,59917,61240,57473,61014,53332,104907,137981,178095,116267,68003,61585,53210,58580,"Iowa",0,0,2111,1742,771,1149,343,1921,2303,663,2126,0,221,609,1631,611,1145,320,696,1934,185,1950,221,2195,565,443,127,101,1981,1077,629,834,0,221,221,4647,5192,5433,2733,2374,1068,499,483,308,1051,1043,60,41,26,118,234,286,517,1437,717,1709,4146,3560,4198,2589,1490,2114,3148,3132,1719,894,900,151,135,113,262,420,274,305,701,477,998,868,982,1212,956,3912,1697,2490,3050,2603,4038,2474,1353,1157,857,4377,5015,3879,3827,4667,3344,10483,4146,1519,1478,1388,1459,1426,1331,1248,1381,1430,1908,1953,2513,2138,1803,1556,1348,313
"G200","2014-2018",,,"Kansas","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kansas",2908776,2908776,2460619,169801,24050,83531,2143,67588,101044,9398,91646,2908776,2568160,2214543,163713,19504,82887,1827,2302,83384,1092,82292,340616,246076,6088,4546,644,316,65286,17660,8306,9354,2908776,2568160,340616,1422992,1299825,1169866,129959,97932,18831,6939,4206,2051,6898,6397,112,130,39,220,730,2557,5119,33452,11029,63382,1124549,731657,571526,160131,49491,110640,392892,325708,67184,1894675,16970,383,330,718,1476,2793,2235,2326,13976,5295,22710,21071,26026,33295,26115,415835,76984,152303,289742,161016,394462,168742,36091,23781,2825033,154010,196270,124797,125700,188397,75442,1960417,1124549,65369,49481,51662,53743,57200,57142,53796,55380,48322,92506,120175,147236,100104,59025,58781,54627,57422,"Kansas",0,0,3181,2013,1027,1270,326,3099,2762,962,2631,0,52,442,1723,773,1288,265,441,2435,248,2405,49,3163,922,756,259,171,2996,1163,885,996,0,52,49,4746,4630,5106,3097,2719,1101,611,575,334,699,671,68,64,36,95,246,351,526,1292,795,1557,4096,3633,4095,2696,1513,2161,2898,2912,1683,984,1071,117,100,149,335,362,336,309,976,492,1106,1073,1082,1456,1039,4020,1646,2530,3382,2885,4416,2725,1278,1015,658,4147,5256,3840,3990,5495,3833,8950,4096,1423,1223,1533,1489,1529,1480,1498,1528,1246,2124,2210,1887,2050,1432,1286,1544,337
"G210","2014-2018",,,"Kentucky","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kentucky",4440204,4440204,3866676,354112,9888,62802,2814,44086,99826,8026,91800,4440204,4281460,3764082,349407,8498,62432,2339,6057,88645,1732,86913,158744,102594,4705,1390,370,475,38029,11181,6294,4887,4440204,4281460,158744,1929677,1769353,1584648,184705,146314,23389,7997,4640,2365,20400,19943,127,82,95,153,1198,1741,3692,42943,20648,69702,1728681,1135709,836598,299111,82763,216348,592972,491997,100975,3004004,32771,298,485,1087,1984,4879,4312,7057,17086,18828,86211,63815,76936,71826,41998,787966,203825,199735,428500,244802,415937,211163,53145,29358,4302315,334537,437543,217239,213552,298531,120248,2680665,1728681,152774,105004,100724,97642,94969,93022,85583,84813,73021,137713,169150,199666,129000,76995,67534,61071,48392,"Kentucky",0,0,2869,2532,729,1141,435,2832,2847,819,2701,0,523,933,2370,603,1144,272,901,2747,268,2703,523,2705,731,447,126,351,2588,909,776,667,0,523,523,6494,7039,7245,3460,3236,1200,660,607,366,1030,999,72,58,60,76,246,283,427,1455,1183,1820,5065,4851,5899,3571,2280,3039,4575,4589,2177,1403,1364,94,148,266,318,499,514,602,963,1078,1815,1974,2182,2105,1297,5901,2896,2804,5786,3555,4593,3171,1382,1167,1358,7226,8836,5284,5412,6239,3915,13939,5065,2415,2162,2408,2124,2216,1979,1568,1947,1850,2460,2607,2866,2641,1873,1692,1342,291
"G220","2014-2018",,,"Louisiana","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Louisiana",4663616,4663616,2901106,1502916,26272,79872,1468,60419,91563,8858,82705,4663616,4428696,2744265,1492230,24014,79137,1154,8905,78991,2194,76797,234920,156841,10686,2258,735,314,51514,12572,6664,5908,4663616,4428696,234920,2007599,1847379,1660274,187105,139278,28876,11098,4510,3343,25582,23711,1304,234,107,226,1948,2486,10474,36198,23242,60290,1736021,1113951,751595,362356,88389,273967,622070,524332,97738,3107941,36825,570,327,1642,1870,6373,4741,8940,22908,24783,49239,64539,93018,102798,53387,889374,166394,169443,486729,186448,483170,173858,51432,29133,4531598,393480,484914,248588,227702,309236,126005,2741673,1736021,167068,108333,107587,104135,97404,87724,77778,77475,69014,126646,154607,188543,131031,82248,81945,74483,47942,"Louisiana",0,0,2870,2800,1010,1239,276,2797,3183,1056,3204,0,422,935,2611,909,1104,234,1044,3119,439,3073,422,2875,1353,394,327,167,2733,1260,945,916,0,422,422,6988,7316,8018,3975,3222,1860,1121,585,422,1394,1403,214,109,79,112,359,394,776,1823,1264,1960,5617,6866,6054,4367,2418,3558,4899,4564,2255,1238,1567,185,134,279,352,694,447,765,1140,1384,1788,1996,2669,2791,1896,7216,3036,3342,5320,3993,6650,3716,1803,1117,1272,8510,9734,6193,7641,7126,5050,14001,5617,3036,2155,2297,2273,2192,2002,2123,1860,1832,2568,2356,3353,2473,2066,2100,1944,363
"G230","2014-2018",,,"Maine","23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maine",1332813,1332813,1259217,17881,8302,14917,318,2970,29208,1297,27911,1332813,1311392,1244525,16990,7722,14814,258,843,26240,379,25861,21421,14692,891,580,103,60,2127,2968,918,2050,1332813,1311392,21421,651799,574444,511466,62978,51040,7023,2159,1097,1659,4159,3384,49,132,179,415,1561,927,2729,25602,4852,37525,556955,347959,272403,75556,24867,50689,208996,163114,45882,967897,5409,199,93,147,162,375,527,902,1790,2733,14094,10002,14335,13563,10095,260693,47320,59404,130205,96570,190172,78014,18281,12812,1296990,64480,97263,56084,57443,82270,36345,903105,556955,33789,30791,29911,27098,27207,28358,26883,24690,23151,45847,59728,74153,49024,27811,25562,22952,55425,"Maine",0,0,624,741,527,527,106,447,981,328,945,0,0,306,714,457,523,103,277,919,149,892,0,563,272,220,58,59,396,458,274,446,0,0,0,3123,2718,2882,1880,1578,616,311,267,320,469,441,30,84,77,106,405,190,400,1028,479,1004,2215,2274,2225,1629,877,1346,2375,2179,1386,417,461,91,49,76,76,146,143,186,353,374,744,560,868,1005,654,2444,1352,1334,2398,1968,2257,1873,908,691,605,2412,2918,2674,2549,2983,1824,5554,2215,1144,1067,985,1096,985,1114,952,1089,923,1234,1453,1821,1470,1002,929,956,588
"G240","2014-2018",,,"Maryland","24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maryland",6003435,6003435,3373181,1788090,15644,374277,3059,249815,199369,23951,175418,6003435,5414523,3084868,1759438,10949,371981,2265,19368,165654,7236,158418,588912,288313,28652,4695,2296,794,230447,33715,16715,17000,6003435,5414523,588912,3021967,2506407,2233034,273373,208320,37430,14112,8789,4722,258397,122601,1602,111886,21835,473,7710,2553,10199,70350,23926,142425,2192518,1466554,1053860,412694,105838,306856,725964,591551,134413,4114858,49217,1085,1082,2027,4674,9076,6694,9897,30944,15136,34291,49308,63545,66849,65932,894293,127554,244463,534708,273518,877641,522662,124561,105701,5862050,267774,285722,170309,188100,276875,117016,4556254,2192518,103376,63381,65727,66417,71878,73649,72866,76848,69274,149066,201098,286460,238462,174830,222637,256549,81868,"Maryland",0,0,5515,3569,1187,2285,505,5991,4415,1670,3966,0,0,1270,3235,678,2153,286,1778,3752,961,3673,0,5586,1972,872,469,364,5998,2168,1425,1348,0,0,0,6485,7636,7075,4234,3508,1650,884,930,469,3596,2839,315,2208,975,123,776,331,618,2067,1383,2607,5412,6220,6639,3519,2110,3164,4501,3961,2233,587,1737,210,263,411,603,894,702,738,1745,1084,1459,1706,2107,2011,1752,7325,2935,3502,5568,3589,6053,5038,2581,2490,1430,5026,8217,4716,7308,6471,3826,14866,5412,2233,1868,2022,1784,1730,1803,1730,1833,1899,2547,3378,3080,3298,2899,3109,3417,431
"G250","2014-2018",,,"Massachusetts","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Massachusetts",6830193,6830193,5360006,510558,14493,442574,2329,284740,215493,33401,182092,6830193,6041066,4930412,463796,8890,440336,1698,53268,142666,14354,128312,789127,429594,46762,5603,2238,631,231472,72827,19047,53780,6830193,6041066,789127,3500223,2721039,2458064,262975,205921,33260,12026,6842,4926,358143,118713,7175,168360,60504,3391,8352,2932,29651,171603,32469,176034,2601914,1651808,1224142,427666,109720,317946,950106,743506,206600,4748795,68153,842,1099,2469,5147,10665,17179,14989,28556,16803,48303,49215,62015,60121,68804,1019399,131447,228477,512307,365103,1128877,637628,141903,129294,6593960,333853,376452,207251,199134,287170,122836,5067264,2601914,141665,117095,99967,96039,90190,92898,84349,87098,77960,159016,223272,311620,262710,199140,247215,311680,77378,"Massachusetts",0,0,7315,4376,1150,2114,440,7372,5035,2008,4993,0,320,2445,2882,709,2121,364,3281,3762,1346,3581,320,6443,2885,982,424,211,6043,3413,1466,3302,0,320,320,8983,9285,9516,4858,4437,1774,972,756,519,4211,3159,690,3215,1666,371,698,455,1321,3058,1575,2721,4637,5930,7624,4464,2691,3844,5256,4550,3096,565,2335,209,249,409,666,731,1194,1103,1454,953,1910,1635,1663,1818,1971,8635,2857,3216,5518,4355,7712,5760,2599,2915,1262,7935,7099,5918,5087,6512,3725,14523,4637,2941,2460,2016,2028,2140,1894,2065,2061,1814,2813,2911,3080,3077,2848,3202,3245,425
"G260","2014-2018",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Michigan",9957488,9957488,7818588,1375424,53235,304403,2979,119141,283718,25580,258138,9957488,9459591,7489371,1360345,45772,303059,2464,14334,244246,6635,237611,497897,329217,15079,7463,1344,515,104807,39472,18945,20527,9957488,9459591,497897,4504994,4110477,3714050,396427,309901,52093,19241,9753,5439,61568,59491,427,845,336,469,5082,4067,19549,101150,28104,174997,3909509,2514380,1851321,663059,185523,477536,1395129,1146430,248699,6772215,72034,1177,1279,1349,3087,5549,5225,9598,24173,14817,61922,70754,122941,140989,106642,1695208,271601,515266,1074799,636753,1179677,559642,118563,79170,9731374,654072,802936,432134,421839,614636,252254,6553503,3909509,270974,182415,193595,200896,194588,201336,185299,189195,166406,318176,400946,485187,329368,202211,201893,187024,54938,"Michigan",0,0,4309,3571,1794,1918,372,4383,5010,1526,4648,0,71,1062,3492,1315,1909,351,1208,4439,675,4324,71,4022,1292,962,243,145,3985,1982,1327,1309,0,71,71,9085,8819,8490,4658,3959,1764,1064,761,499,1815,1811,140,217,94,144,543,392,919,1945,1106,2632,9207,7888,9502,4664,2669,4094,5365,5600,2818,832,1885,213,209,285,403,513,477,608,1111,762,1943,1940,2721,2758,2021,9064,2940,5544,6905,4629,6732,5669,2087,1713,1560,8377,10132,7356,8027,8218,5570,20517,9207,2738,2828,2544,2458,2914,2701,2086,3016,2296,3776,3164,3790,3761,2876,2293,2159,166
"G270","2014-2018",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Minnesota",5527358,5527358,4606044,342186,58982,262359,2187,97833,157767,13309,144458,5527358,5234594,4438071,336505,53168,260797,1799,7021,137233,3286,133947,292764,167973,5681,5814,1562,388,90812,20534,10023,10511,5527358,5234594,292764,2879806,2488145,2243581,244564,188406,32398,12849,7018,3893,103390,93750,1918,4242,3216,264,2632,4209,22023,78319,18148,162940,2167801,1395514,1103647,291867,93217,198650,772287,615196,157091,3731762,44273,567,595,1100,1824,3322,2949,3187,13042,5481,32902,24429,36412,45475,46843,814573,115485,250536,541561,424424,871363,315403,81713,54303,5403634,237017,310425,189745,190884,279186,121778,4074599,2167801,95813,84069,80874,87853,87858,89569,88183,91810,83183,165587,224732,303935,221933,151454,156891,154057,68411,"Minnesota",0,0,3540,2773,1202,1685,326,3577,3826,1168,3541,0,77,845,2742,1023,1627,292,905,3436,578,3339,77,3385,904,655,388,142,3448,1228,866,1005,0,77,77,6384,6475,6287,3504,2785,1323,775,564,542,2077,2155,261,470,329,90,386,398,923,1742,820,2844,5845,6100,7210,2991,1834,2645,4306,3963,2074,817,1489,141,184,249,310,454,354,462,775,579,1235,1034,1179,1278,1346,5744,1781,2764,4126,3569,5927,3446,2138,1282,1133,5316,6712,4076,4888,5452,3498,11923,5845,1904,1630,1521,1724,1653,1673,1845,1564,1766,2313,2745,2635,2595,2244,1824,1882,276
"G280","2014-2018",,,"Mississippi","28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mississippi",2988762,2988762,1751193,1125834,13689,28313,707,28833,40193,3550,36643,2988762,2898269,1696952,1121752,12990,28170,654,2858,34893,856,34037,90493,54241,4082,699,143,53,25975,5300,2694,2606,2988762,2898269,90493,1215697,1148639,1037238,111401,84813,16159,5263,2628,2538,3393,3136,37,27,34,159,522,1104,1233,17028,15999,27779,1105576,740268,491943,248325,53350,194975,365308,317826,47482,1967314,25771,316,379,696,1682,3578,3735,5285,14309,14786,35278,43121,59762,68510,39137,474505,122059,116918,323976,184334,266274,116055,27736,19112,2890347,275272,324523,178262,162053,221576,83761,1644900,1105576,113175,76319,74327,68278,65117,61203,54498,53790,47283,84396,102096,123926,73926,40786,36688,29768,43567,"Mississippi",0,0,2016,2304,739,831,205,1738,2362,554,2361,0,722,439,2388,656,816,198,636,2249,275,2263,722,1963,809,250,103,47,1666,701,465,589,0,722,722,6668,6650,6780,2705,2450,1139,546,419,420,477,455,31,42,38,100,178,266,287,860,1034,1254,4591,4546,4323,3182,1957,2714,3706,3722,1600,1317,1227,128,150,285,323,420,388,663,822,941,1433,1605,1936,2243,1333,6022,2652,2869,4388,2841,3998,2724,1256,991,856,7237,7002,5803,5658,6550,4194,12296,4591,2676,2000,2100,2099,1765,1911,1821,2000,1590,2050,2608,2248,2111,1535,1366,1211,395
"G290","2014-2018",,,"Missouri","29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Missouri",6090062,6090062,5008342,704896,26952,116720,6662,71162,155328,11364,143964,6090062,5840957,4848330,699730,23566,115311,6037,9826,138157,2862,135295,249105,160012,5166,3386,1409,625,61336,17171,8502,8669,6090062,5840957,249105,2855663,2588131,2338107,250024,197852,30070,12789,5774,3539,40311,36497,447,2559,635,173,2536,3338,6147,55495,21955,137750,2396271,1540575,1152270,388305,107055,281250,855696,702904,152792,4124838,33534,542,679,691,1243,2787,2696,4851,12753,9501,65092,53296,87790,95141,59933,1076664,189766,298310,624735,323751,729543,329182,72419,49939,5907190,363015,474915,276551,264510,399070,169187,3959942,2396271,158836,118404,122333,127388,124137,129224,119243,120404,104302,195669,249084,300226,195077,115715,111519,104710,53560,"Missouri",0,0,3253,2524,1077,1479,659,3133,3655,1145,3431,0,258,1169,2562,991,1398,655,1373,3173,567,3077,258,2986,727,581,338,247,2632,1309,979,963,0,258,258,7320,8198,7930,3872,3513,1377,1074,586,406,1817,1725,138,407,159,74,445,396,491,1921,1189,2558,6753,6545,7526,4490,2432,3261,5386,5381,2702,1462,1200,142,169,204,224,415,392,560,912,620,1527,1779,2175,2437,1587,7390,2695,3987,5802,3528,7396,4176,1892,1445,1562,7670,8122,6004,6366,6939,5065,16611,6753,2947,2527,2350,2233,2070,2064,2278,2131,2061,2601,3000,3645,2728,2121,2049,1812,221
