GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME,BTTRA,BTBGA,AJWMM001,AJWNM001,AJWNM002,AJWNM003,AJWNM004,AJWNM005,AJWNM006,AJWNM007,AJWNM008,AJWNM009,AJWNM010,AJWVM001,AJWVM002,AJWVM003,AJWVM004,AJWVM005,AJWVM006,AJWVM007,AJWVM008,AJWVM009,AJWVM010,AJWVM011,AJWVM012,AJWVM013,AJWVM014,AJWVM015,AJWVM016,AJWVM017,AJWVM018,AJWVM019,AJWVM020,AJWVM021,AJWWM001,AJWWM002,AJWWM003,AJXCM001,AJXCM002,AJXCM003,AJXCM004,AJXCM005,AJXCM006,AJXCM007,AJXCM008,AJXCM009,AJXCM010,AJXCM011,AJXCM012,AJXCM013,AJXCM014,AJXCM015,AJXCM016,AJXCM017,AJXCM018,AJXCM019,AJXCM020,AJXCM021,AJXIM001,AJXIM002,AJXIM003,AJXIM004,AJXIM005,AJXIM006,AJXIM007,AJXIM008,AJXIM009,AJXIM010,AJXIM011,AJXIM012,AJXIM013,AJXIM014,AJXIM015,AJXIM016,AJXIM017,AJXIM018,AJXIM019,AJXIM020,AJXIM021,AJXKM001,AJXKM002,AJXKM003,AJXKM004,AJXKM005,AJXKM006,AJXKM007,AJXKM008,AJXKM009,AJYPM001,AJYPM002,AJYPM003,AJYPM004,AJYPM005,AJYPM006,AJYPM007,AJYPM008,AJYPM009,AJYPM010,AJYPM011,AJYPM012,AJYPM013,AJYPM014,AJYPM015,AJYPM016,AJYPM017,AJYPM018,AJYPM019,AJYPM020,AJYPM021,AJYPM022,AJYPM023,AJYPM024,AJYPM025,AJY4M001,AJY4M002,AJY4M003,AJY4M004,AJY4M005,AJY4M006,AJY4M007,AJY4M008,AJY9M001,AJY9M002,AJY9M003,AJY9M004,AJY9M005,AJY9M006,AJY9M007,AJY9M008,AJY9M009,AJY9M010,AJY9M011,AJY9M012,AJY9M013,AJY9M014,AJY9M015,AJY9M016,AJY9M017,AJZAM001
"G340","2014-2018",,,"New Jersey","34",,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Jersey",,,0,0,10067,4168,1458,2588,458,10632,5331,2419,4428,0,0,1670,3129,636,2549,218,2145,3773,1296,3467,0,10049,2926,1310,752,361,10446,3589,2119,2698,0,0,0,9142,9614,8945,5727,4277,1936,1329,1214,793,5347,4126,483,2140,2620,704,1161,396,883,2931,1810,3281,287,1019,4719,3095,2212,2632,2455,2601,1268,1506,581,4469,4218,1832,1894,541,3365,3303,678,1050,924,6651,7874,9559,5695,3140,4358,5740,5601,2523,409,2355,251,201,416,618,1116,1146,1221,2623,1342,2209,1959,2047,2235,2454,12472,2942,5139,5755,4375,8080,5993,2247,2131,1216,8884,8505,7177,7211,9319,4953,20406,6651,2692,2148,2351,2538,2613,2286,2468,2476,2393,3061,3515,3878,3932,3351,4256,4224,386
"G350","2014-2018",,,"New Mexico","35",,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Mexico",,,0,0,5209,1312,1672,1132,339,4935,2907,1689,2222,0,0,639,1067,1162,1019,227,640,1896,344,1831,0,5165,803,1396,502,217,4861,1841,1653,1250,0,0,0,4169,4581,4697,2566,1966,847,604,560,277,947,917,63,50,219,41,83,306,579,1145,726,1598,415,635,2210,1372,1263,1378,1401,1207,556,718,329,2124,2061,1147,1179,425,1473,1435,374,848,395,3254,3146,3353,2598,1540,2138,3530,3350,1477,951,1035,170,113,230,294,667,518,490,1336,655,1192,1592,1391,1328,1205,4251,1934,2333,4081,2737,3285,2409,1007,1008,691,5284,5801,4690,4621,4633,3182,8702,3254,1746,1463,1854,1411,1545,1304,1303,1324,1288,1565,2000,1992,1473,1097,1282,1051,438
"G360","2014-2018",,,"New York","36",,,,,,,,,,,,,,,,,,,,,,,,,,,,"New York",,,0,0,16549,7383,2869,4603,797,20125,9680,4441,8151,0,0,2748,4596,1401,4456,677,4281,6041,2037,5745,0,15982,6235,2773,1319,482,19089,5982,3707,4876,0,0,0,17007,14291,12163,6929,5893,2208,1679,1183,1006,10583,6107,1003,9093,4434,915,2043,572,1966,6975,2124,4691,572,1422,7736,4128,3767,3623,3782,4214,1757,2311,1081,7642,7428,3274,3274,975,5369,5259,1008,1592,1407,13711,14232,16737,7797,4674,5683,8450,8014,4759,993,4382,409,495,981,1102,1777,1733,2395,3117,2159,3716,3972,3370,3260,4154,18941,5410,6632,9534,7082,13037,11903,4403,3702,2216,15799,15645,12266,10315,13961,7501,35687,13711,5214,3977,4093,3804,4193,3950,3431,3434,2946,5084,4300,7268,5530,5399,5334,7070,270
"G370","2014-2018",,,"North Carolina","37",,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Carolina",,,0,0,7853,5653,1559,1935,674,7857,6193,1949,5679,0,99,1516,4749,1289,1938,507,2111,5381,769,5344,99,7378,2505,1362,418,373,7367,2446,1699,1623,0,99,99,10612,10901,10302,5585,4955,2235,1457,1022,767,1439,1402,208,359,243,128,611,537,794,2360,1817,4192,749,1080,4776,3027,3083,2428,2508,2333,1050,1398,553,4827,4857,2652,2492,717,3456,3429,629,1275,695,8585,10078,11207,5257,3676,4306,5616,5643,3232,1458,2058,297,260,353,653,931,895,1015,1999,1653,2099,3253,3745,3506,2131,9928,3964,6252,9052,5984,10152,6224,2519,2421,1522,10829,10675,10319,10282,12147,6646,25233,8585,3364,3109,2621,3206,3183,3217,3435,3294,2750,4284,4126,4959,3555,3256,2862,2986,224
"G380","2014-2018",,,"North Dakota","38",,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Dakota",,,0,0,1118,779,725,486,154,977,1197,393,1140,0,106,485,767,687,497,154,499,1072,94,1065,107,969,130,290,84,19,860,581,388,418,0,106,107,2364,2175,2323,1105,905,580,355,203,163,322,316,42,16,80,22,142,99,322,726,316,877,283,343,1032,602,631,516,604,290,132,159,77,1091,1074,552,520,156,806,806,130,175,176,1937,1839,1719,1299,776,1004,1999,1875,1133,659,387,62,67,32,58,65,104,150,197,199,599,417,454,515,474,1811,864,1058,1674,1537,1858,991,689,427,395,1865,1809,1933,1405,1940,1515,4034,1937,791,836,670,629,815,838,652,814,814,1121,1156,1345,1152,855,962,765,688
"G390","2014-2018",,,"Ohio","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ohio",,,0,0,3876,4428,1225,2128,434,3911,5261,1775,4987,0,293,1492,4353,953,2081,386,1650,4991,1053,4692,293,3668,1463,893,329,172,3558,1974,1438,1665,0,293,293,10571,11535,11184,5284,4411,1923,1195,970,656,2477,2429,166,277,162,139,574,427,1064,2631,1565,3500,798,1197,6456,3209,2706,2801,2835,2084,1174,1382,699,6461,6386,2966,2779,771,4510,4401,743,1085,864,10201,9256,11965,6827,3290,5595,6649,6674,3254,1257,1895,215,174,251,428,750,522,678,1084,884,1818,2302,3187,3645,2721,12355,4400,5849,8323,5868,8890,6717,2398,2027,1839,10354,12980,8915,7631,10259,7655,23286,10201,2949,2626,3295,3074,3347,2956,3501,2973,2831,3597,4666,4860,3747,3215,3233,2938,167
"G400","2014-2018",,,"Oklahoma","40",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oklahoma",,,0,0,3865,1848,2742,1137,545,3398,4246,1240,3957,0,0,626,1720,2635,1093,514,572,3712,551,3558,0,3816,622,1115,264,233,3348,1932,1110,1556,0,0,0,3884,4327,4652,2449,2297,951,746,599,289,606,647,119,56,55,109,324,340,369,1176,730,1545,485,672,1961,1367,1269,1292,1240,874,486,665,277,1897,1921,1109,1070,354,1283,1326,306,431,548,3107,3716,3298,2967,1659,2239,3020,2760,1667,765,1116,132,144,183,353,421,434,478,1180,624,1218,1318,1364,1599,1254,4412,2262,2562,3453,2673,3975,2294,1151,986,857,4506,6478,4186,4430,5241,3021,9843,3107,1610,1748,1348,1526,1570,1573,1633,1629,1162,1782,1955,2341,1658,1385,1226,1325,213
"G410","2014-2018",,,"Oregon","41",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oregon",,,0,0,4552,1631,2043,1885,668,4467,3900,1851,3455,0,0,1164,1403,1501,1873,597,1118,2810,607,2784,0,4177,617,1246,461,327,4303,2518,1817,2040,0,0,0,5824,7031,6990,3917,3381,1146,942,657,416,2306,2264,761,742,376,91,428,488,1596,2218,1076,2793,483,897,2671,1820,1700,1470,1689,1287,725,829,711,2739,2540,1351,1220,672,1896,1790,558,888,791,4000,4521,5258,3160,1744,2859,3544,3618,2482,744,1451,150,174,395,396,697,431,784,1389,588,1438,1571,1748,1758,1488,5036,2755,3275,5441,3027,5345,3253,1825,1371,1416,5924,6519,5594,5283,5540,4420,12065,4000,1960,1883,1995,2076,1961,1897,1674,1880,1910,2423,2804,3113,2314,1761,1935,1887,384
"G420","2014-2018",,,"Pennsylvania","42",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pennsylvania",,,0,0,5470,5104,1794,2249,445,5426,5951,2177,5473,0,108,1448,4028,1003,2084,290,1761,4501,1090,4503,108,5399,3366,1245,606,387,5237,2995,1810,2289,0,108,108,12277,13009,12633,5394,4794,2236,1419,827,744,4937,4357,691,1591,1656,178,695,422,1455,4310,1498,4045,629,1357,7163,3583,2904,2899,3468,2641,1124,1506,770,6913,6648,2623,2537,782,4968,4795,755,1533,1246,9263,10250,12997,6398,3332,4884,6911,7093,3583,1002,2198,276,246,354,556,718,701,838,1550,1172,1954,2689,2965,2938,2659,12305,3916,4584,7116,6045,8564,6969,3052,2467,2042,9509,13403,7610,8609,10347,6317,25865,9263,3705,3220,3057,2902,2769,2930,3155,2461,3138,3807,3675,5171,4368,3649,3212,3261,234
"G440","2014-2018",,,"Rhode Island","44",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rhode Island",,,0,0,2988,1803,802,889,307,2932,1977,1141,1864,0,0,796,1171,535,856,274,999,1332,669,1407,0,2897,1429,571,252,137,2890,1233,783,953,0,0,0,2931,3415,3416,1942,1726,563,461,283,255,887,831,37,141,320,52,284,121,245,924,458,991,303,394,1331,836,843,729,943,615,338,445,177,1304,1248,661,599,223,956,933,223,405,296,1911,1962,2044,1633,995,1429,1993,1878,1151,356,758,106,60,315,267,452,526,389,505,428,708,821,881,928,787,3176,1195,1542,2466,1649,2578,1941,716,950,462,2593,3162,2237,2352,2656,1959,5179,1911,1239,1022,887,946,1111,910,766,766,786,1084,1317,1814,1233,1037,957,957,705
