GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME,BTTRA,BTBGA,AJWMM001,AJWNM001,AJWNM002,AJWNM003,AJWNM004,AJWNM005,AJWNM006,AJWNM007,AJWNM008,AJWNM009,AJWNM010,AJWVM001,AJWVM002,AJWVM003,AJWVM004,AJWVM005,AJWVM006,AJWVM007,AJWVM008,AJWVM009,AJWVM010,AJWVM011,AJWVM012,AJWVM013,AJWVM014,AJWVM015,AJWVM016,AJWVM017,AJWVM018,AJWVM019,AJWVM020,AJWVM021,AJWWM001,AJWWM002,AJWWM003,AJXCM001,AJXCM002,AJXCM003,AJXCM004,AJXCM005,AJXCM006,AJXCM007,AJXCM008,AJXCM009,AJXCM010,AJXCM011,AJXCM012,AJXCM013,AJXCM014,AJXCM015,AJXCM016,AJXCM017,AJXCM018,AJXCM019,AJXCM020,AJXCM021,AJXIM001,AJXIM002,AJXIM003,AJXIM004,AJXIM005,AJXIM006,AJXIM007,AJXIM008,AJXIM009,AJXIM010,AJXIM011,AJXIM012,AJXIM013,AJXIM014,AJXIM015,AJXIM016,AJXIM017,AJXIM018,AJXIM019,AJXIM020,AJXIM021,AJXKM001,AJXKM002,AJXKM003,AJXKM004,AJXKM005,AJXKM006,AJXKM007,AJXKM008,AJXKM009,AJYPM001,AJYPM002,AJYPM003,AJYPM004,AJYPM005,AJYPM006,AJYPM007,AJYPM008,AJYPM009,AJYPM010,AJYPM011,AJYPM012,AJYPM013,AJYPM014,AJYPM015,AJYPM016,AJYPM017,AJYPM018,AJYPM019,AJYPM020,AJYPM021,AJYPM022,AJYPM023,AJYPM024,AJYPM025,AJY4M001,AJY4M002,AJY4M003,AJY4M004,AJY4M005,AJY4M006,AJY4M007,AJY4M008,AJY9M001,AJY9M002,AJY9M003,AJY9M004,AJY9M005,AJY9M006,AJY9M007,AJY9M008,AJY9M009,AJY9M010,AJY9M011,AJY9M012,AJY9M013,AJY9M014,AJY9M015,AJY9M016,AJY9M017,AJZAM001
"G450","2014-2018",,,"South Carolina","45",,,,,,,,,,,,,,,,,,,,,,,,,,,,"South Carolina",,,0,0,3149,3139,993,1271,495,3449,3416,1191,3213,0,94,826,2761,681,1243,472,1199,3151,638,3039,94,3168,1194,799,267,111,3268,1468,1035,924,0,94,94,8095,8277,8701,4246,3868,1501,1083,665,455,1032,996,91,161,106,212,393,361,411,1491,1154,2062,490,575,3335,2503,1945,1914,2045,1641,970,1219,467,3287,3072,1604,1561,576,2220,2220,451,980,429,6012,7097,6880,4404,2425,3332,4817,4316,2192,783,1285,214,151,256,387,686,527,794,1165,1129,1832,2213,2535,2281,2044,6951,3050,4036,4978,3799,5752,4136,1636,1420,1142,7185,10958,7456,5739,7509,6087,17003,6012,2716,2400,2349,2464,2287,2415,2007,2233,1860,2748,2890,3461,2581,1927,2012,1807,271
"G460","2014-2018",,,"South Dakota","46",,,,,,,,,,,,,,,,,,,,,,,,,,,,"South Dakota",,,0,0,1118,749,1181,479,100,838,1583,332,1586,0,223,338,724,1014,479,90,361,1496,71,1494,223,1032,135,426,82,38,744,502,324,411,0,223,223,2456,2599,2516,1137,958,536,311,303,146,500,488,20,44,22,31,109,166,268,817,329,992,343,553,1096,669,712,593,652,314,156,219,72,1129,1106,609,599,170,902,906,189,235,497,2003,1903,1824,1261,767,982,1794,1791,856,678,391,51,45,75,147,183,154,95,236,140,676,422,553,560,478,2224,1040,1212,1850,1585,2149,1197,723,483,523,2321,2720,2079,1844,2436,1530,3844,2003,803,904,797,791,779,908,817,775,759,1032,1336,1202,1019,769,654,593,508
"G470","2014-2018",,,"Tennessee","47",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tennessee",,,0,0,4033,3465,1114,1485,507,3580,4315,1163,3720,0,309,1192,3096,977,1490,476,1291,3639,639,3444,309,3943,1469,610,273,208,3827,1568,1007,940,0,309,309,8994,9869,9644,5080,4345,1779,1067,603,548,986,969,114,99,261,110,314,411,444,1355,1552,2327,789,977,3625,2358,2095,2135,2168,1728,796,1042,527,3669,3602,1781,1673,526,2643,2629,575,940,556,6524,7095,8314,4520,2705,4031,5669,5320,3165,1480,1762,176,185,349,436,758,631,661,1251,1222,2291,2287,2296,2771,1976,8688,3671,4390,5996,3939,6824,4049,1884,1707,1266,8023,10842,7623,8342,9649,5261,19531,6524,3283,2773,2975,2718,2715,2712,2516,2393,2367,3355,3559,3910,3296,2332,2236,1909,250
"G480","2014-2018",,,"Texas","48",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Texas",,,0,0,22200,6566,4902,4903,1173,19669,12865,6421,9863,0,206,2579,5872,1809,4791,1009,3075,7830,1694,7482,206,21998,4262,4314,1389,648,19212,7672,5715,4959,0,206,206,17436,20181,16606,14558,10486,5582,3005,2240,1154,3173,3047,537,695,823,243,738,1154,1453,3412,3393,6005,1144,1482,7435,4625,4712,4232,4258,5074,2502,2751,1337,7574,7429,3472,3303,1093,5376,5377,838,1717,1137,18343,19105,23549,9678,6231,7481,10635,10102,5529,2079,6370,458,640,1213,2217,3189,2180,3027,7832,3082,5076,7244,5625,5809,5197,21543,8205,13811,17480,10864,17076,11279,3895,3819,2529,20826,24069,17261,16506,23404,13443,50164,18343,5459,4616,4752,5432,5993,4958,4860,5054,5289,6137,8027,8635,7481,5068,5697,5833,209
"G490","2014-2018",,,"Utah","49",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Utah",,,0,0,4656,1234,1333,1343,1005,4563,2754,1376,2579,0,0,893,1120,907,1324,965,786,2098,503,2094,0,4506,580,899,295,145,4380,1662,1250,1286,0,0,0,4345,4407,5079,3200,2785,1306,914,615,425,1445,1105,409,455,567,72,183,455,655,1768,768,2205,371,567,1576,1144,1194,1062,1121,916,534,542,287,1636,1605,884,846,239,1283,1285,212,378,478,2261,3150,3847,2400,1454,1845,2787,2554,1580,579,977,179,179,255,282,375,443,313,1114,520,682,1196,909,1150,1267,4406,1594,2887,3971,2956,3822,2787,1144,884,937,5040,5903,4543,3978,4970,3948,10665,2261,1512,1082,1172,1312,1176,984,1181,1204,1322,1686,2237,2495,2031,1366,1255,1268,437
"G500","2014-2018",,,"Vermont","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vermont",,,0,0,414,414,297,406,80,363,686,127,677,0,0,193,394,269,406,68,258,673,87,674,0,362,130,134,33,22,303,236,85,211,0,0,0,1780,1968,2034,1026,906,325,199,104,147,401,415,26,98,28,30,101,102,336,864,342,800,246,313,909,620,563,520,557,291,225,190,284,878,825,436,396,216,610,633,210,239,231,1229,1581,1395,1162,651,997,1621,1404,934,382,332,39,55,25,87,53,34,72,139,143,389,407,512,562,480,1650,671,818,1346,1103,1507,1187,556,463,363,1678,1814,1483,1476,1805,1295,3398,1229,748,614,759,630,718,696,627,523,653,810,904,1087,817,619,614,614,656
"G510","2014-2018",,,"Virginia","51",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Virginia",,,0,0,6402,5365,1339,3435,516,6457,6030,2400,5534,0,504,1233,4598,828,3342,427,1586,5272,1052,5299,504,6234,2067,1055,751,279,6117,2893,2137,1776,0,504,504,8682,11071,10333,5182,4526,2307,1251,840,607,2928,2522,180,1929,967,133,859,560,1031,2290,1655,3028,704,913,4102,2429,1857,2271,2386,2043,1228,1197,739,3938,4003,1946,1845,609,3151,3169,632,1369,543,7210,7640,9199,4814,2770,3913,5291,5014,3305,1776,2227,202,227,380,590,855,649,1180,2124,1356,1930,2446,2723,2665,1936,9257,3490,4008,7244,3933,8391,6938,2746,2369,1377,8375,9445,7240,6850,8210,4638,20488,7210,2499,2108,2412,2473,2527,2399,2722,2354,2273,3387,3563,3682,3315,2957,2843,3294,326
"G530","2014-2018",,,"Washington","53",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Washington",,,0,0,7711,3222,2502,3029,1180,7412,5515,2309,4690,0,0,1154,2746,1720,3017,1121,1222,4201,817,4225,0,7426,1393,1648,647,322,7085,3288,2174,2165,0,0,0,7262,8786,9135,5108,4525,1803,1138,895,693,3424,3323,383,773,834,745,480,772,1301,2959,1323,2990,519,896,3807,2303,1906,2024,2023,1562,1014,952,655,3754,3725,1746,1657,712,2918,2807,705,1149,857,5474,6110,8241,4869,2232,3758,5461,5440,3360,907,2171,159,214,445,565,911,808,860,1590,986,1587,2011,1886,2064,2013,7615,2822,4289,6864,4392,7579,5168,2361,1989,1363,5807,8087,6631,6759,7904,6280,14975,5474,2968,2096,2325,2322,1977,2267,2293,2299,1991,2936,3306,3884,2877,2707,2748,2752,308
"G540","2014-2018",,,"West Virginia","54",,,,,,,,,,,,,,,,,,,,,,,,,,,,"West Virginia",,,0,0,1292,1188,480,605,123,1039,1259,414,1204,0,460,942,1114,476,592,127,779,1233,326,1189,460,900,384,76,143,44,643,419,302,258,0,460,460,4417,4260,4296,2158,2077,777,460,201,167,609,569,45,75,150,33,107,132,241,968,473,1158,575,606,1920,1374,1326,1091,1439,786,464,671,274,1969,1934,1099,1048,351,1378,1371,291,380,247,2910,3141,3109,2278,1162,2165,2963,2797,1305,831,664,89,112,138,134,182,255,341,619,692,1119,1372,1479,1024,754,4640,2264,1903,2773,1894,2986,1806,896,696,743,4317,4145,3547,3948,3780,2461,9242,2910,1819,1451,1503,1413,1572,1468,1304,1236,958,1694,1536,1779,1472,1125,1083,862,470
"G550","2014-2018",,,"Wisconsin","55",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wisconsin",,,0,0,3694,1986,1200,1317,408,3545,3587,1235,3065,0,0,705,2005,1088,1278,396,698,2777,439,2671,0,3776,782,535,256,110,3540,1902,1166,1394,0,0,0,5993,6833,6471,3115,2910,1153,804,663,357,1432,1435,91,93,230,67,460,436,1025,1644,943,1939,475,785,3274,1793,1739,1514,1651,1083,468,689,371,3213,3127,1453,1411,437,2392,2410,468,1083,719,6471,5606,6687,3181,1730,2862,4359,4610,2269,816,1411,142,151,200,214,425,355,419,851,492,1171,1198,1283,1393,1624,6299,2125,3264,4519,3807,6273,3816,1614,1263,1336,5623,5993,4461,4647,5145,3791,11833,6471,2100,1874,2011,2081,1959,1850,1913,1570,1828,2786,2882,2945,2927,1913,1805,1439,236
"G560","2014-2018",,,"Wyoming","56",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wyoming",,,0,0,1465,605,786,498,272,1161,1072,349,978,0,184,152,565,594,502,231,134,863,73,862,184,1443,169,463,59,111,1138,576,338,419,0,184,184,2058,2348,2476,1381,994,667,360,326,131,468,460,16,47,28,22,99,178,356,944,353,1073,302,337,1107,717,704,642,700,387,257,236,112,1122,1057,605,581,146,723,700,178,280,142,1390,1582,1712,1262,818,992,1699,1774,882,628,344,65,94,55,46,193,94,72,330,215,422,377,418,553,512,2034,818,1169,1705,1405,1782,1116,495,485,346,1823,2288,1702,1962,2230,1519,3777,1390,761,678,760,755,672,679,633,742,656,914,888,1186,1100,774,710,754,932
"G720","2014-2018",,,"Puerto Rico","72",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Puerto Rico",,,0,0,9541,6294,1171,892,268,8302,4871,1365,4615,0,1879,1580,510,36,662,39,420,398,93,384,1879,9613,6304,1169,670,262,8291,4893,1379,4627,0,1879,1879,5937,6681,6565,2718,2285,902,495,365,268,1166,754,773,392,48,141,158,249,358,1192,1132,1203,0,771,2434,2372,2118,1830,1802,1664,722,1812,455,2459,2279,1401,1404,444,1691,1672,419,653,770,4286,4328,3777,3648,2037,3224,3592,3652,1573,0,2114,223,204,880,1041,1424,1512,1380,1944,1490,1656,2375,1463,1594,1174,4513,1994,1421,3483,3837,4652,2747,1387,1159,597,9425,10942,6362,5791,6475,4439,11235,4286,3362,2821,2440,1974,2170,1799,1582,1450,1409,1767,1601,1516,1108,698,784,724,190
